Player Ali:
(coordinates recorded in cm precision)
  00:45:391: (x: 381, y: -56)
  00:45:698: (x: 873, y: -180)
  00:45:703: (x: 873, y: -180)
  00:46:013: (x: 789, y: -389)
  00:46:268: (x: 789, y: -389)
  00:46:336: (x: 789, y: -389)
  00:46:576: (x: 594, y: -59)
  00:46:653: (x: 594, y: -59)
  00:46:893: (x: 594, y: -59)
  00:46:959: (x: 1334, y: -83)
  00:47:198: (x: 1334, y: -83)
  00:47:278: (x: 1334, y: -83)
  00:47:517: (x: 799, y: -309)
  00:47:589: (x: 799, y: -309)
  00:47:823: (x: 788, y: -290)
  00:47:897: (x: 788, y: -290)
  00:48:143: (x: 788, y: -290)
  00:48:218: (x: 788, y: -290)
  00:48:457: (x: 653, y: -230)
  00:48:529: (x: 653, y: -230)
  00:48:775: (x: 792, y: -387)
  00:48:836: (x: 792, y: -387)
  00:49:092: (x: 792, y: -387)
  00:49:146: (x: 770, y: -315)
  00:49:405: (x: 770, y: -315)
  00:49:453: (x: 770, y: -315)
  00:49:721: (x: 811, y: -343)
  00:49:763: (x: 811, y: -343)
  00:50:033: (x: 811, y: -343)
  00:50:082: (x: 572, y: -260)
  00:50:343: (x: 572, y: -260)
  00:50:392: (x: 572, y: -260)
  00:50:652: (x: 518, y: -309)
  00:50:706: (x: 518, y: -309)
  00:50:958: (x: 524, y: -403)
  00:51:017: (x: 524, y: -403)
  00:51:273: (x: 524, y: -403)
  00:51:331: (x: 524, y: -403)
  00:51:585: (x: 459, y: -299)
  00:51:652: (x: 459, y: -299)
  00:51:898: (x: 479, y: -378)
  00:51:960: (x: 479, y: -378)
  00:52:210: (x: 479, y: -378)
  00:52:274: (x: 528, y: -306)
  00:52:532: (x: 528, y: -306)
  00:52:588: (x: 528, y: -306)
  00:52:851: (x: 540, y: -371)
  00:52:907: (x: 540, y: -371)
  00:53:164: (x: 552, y: -592)
  00:53:222: (x: 552, y: -592)
  00:53:483: (x: 552, y: -592)
  00:53:533: (x: 552, y: -592)
  00:53:798: (x: 585, y: -148)
  00:53:847: (x: 585, y: -148)
  00:54:117: (x: 583, y: -330)
  00:54:166: (x: 583, y: -330)
  00:54:431: (x: 583, y: -330)
  00:54:477: (x: 583, y: -330)
  00:54:751: (x: 754, y: -315)
  00:54:792: (x: 754, y: -315)
  00:55:062: (x: 766, y: -291)
  00:55:098: (x: 766, y: -291)
  00:55:378: (x: 766, y: -291)
  00:55:418: (x: 870, y: -378)
  00:55:692: (x: 870, y: -378)
  00:55:727: (x: 870, y: -378)
  00:56:014: (x: 573, y: -64)
  00:56:044: (x: 573, y: -64)
  00:56:322: (x: 397, y: 176)
  00:56:355: (x: 397, y: 176)
  00:56:636: (x: 397, y: 176)
  00:56:668: (x: 397, y: 176)
  00:56:942: (x: 41, y: 301)
  00:56:981: (x: 41, y: 301)
  00:57:263: (x: -37, y: 285)
  00:57:302: (x: -37, y: 285)
  00:57:573: (x: -37, y: 285)
  00:57:608: (x: -37, y: 285)
  00:57:892: (x: -189, y: 339)
  00:57:922: (x: -189, y: 339)
  00:58:203: (x: -35, y: 225)
  00:58:235: (x: -35, y: 225)
  00:58:514: (x: -510, y: 328)
  00:58:541: (x: -510, y: 328)
  00:58:822: (x: -510, y: 328)
  00:58:855: (x: -510, y: 328)
  00:59:142: (x: -220, y: 366)
  00:59:173: (x: -220, y: 366)
  00:59:448: (x: -824, y: 156)
  00:59:488: (x: -824, y: 156)
  00:59:763: (x: -824, y: 156)
  00:59:807: (x: -824, y: 156)
  01:00:069: (x: -535, y: -364)
